timestamp,src_ip,host,uri,status,user_agent
2026-05-02T12:45:00Z,203.0.113.74,www.campus.edu,/apply,200,Mozilla/5.0
2026-05-02T12:46:32Z,198.51.100.2,www.campus.edu,/admissions,200,Mozilla/5.0 (Macintosh)
2026-05-02T12:47:17Z,192.0.2.24,www.campus.edu,/apply,200,Mozilla/5.0
2026-05-02T12:47:34Z,198.51.100.159,www.campus.edu,/financial-aid,200,Mozilla/5.0
2026-05-02T12:48:35Z,203.0.113.135,www.campus.edu,/deadlines,200,Mozilla/5.0 (iPhone)
2026-05-02T12:48:51Z,192.0.2.52,www.campus.edu,/apply,200,Mozilla/5.0 (Android)
2026-05-02T12:53:50Z,203.0.113.191,www.campus.edu,/apply,200,Mozilla/5.0 (Windows NT 10.0)
2026-05-02T12:54:12Z,203.0.113.208,www.campus.edu,/apply,200,Mozilla/5.0 (Windows NT 10.0)
2026-05-02T12:55:03Z,192.0.2.157,www.campus.edu,/deadlines,200,Mozilla/5.0
2026-05-02T12:55:17Z,192.0.2.249,www.campus.edu,/admissions,200,Mozilla/5.0
2026-05-02T12:55:23Z,198.51.100.148,www.campus.edu,/financial-aid,200,Mozilla/5.0
2026-05-02T12:56:30Z,198.51.100.213,www.campus.edu,/admissions,200,Mozilla/5.0 (iPhone)
2026-05-02T13:00:02Z,203.0.113.88,www.campus.edu,/admissions,200,Mozilla/5.0 (iPhone)
2026-05-02T13:00:40Z,198.51.100.110,www.campus.edu,/admissions,200,Mozilla/5.0 (Android)
2026-05-02T13:01:26Z,203.0.113.7,www.campus.edu,/admissions,200,Mozilla/5.0 (Macintosh)
2026-05-02T13:02:59Z,203.0.113.101,www.campus.edu,/apply,200,Mozilla/5.0 (Windows NT 10.0)
2026-05-02T13:04:07Z,203.0.113.28,www.campus.edu,/admissions,200,Mozilla/5.0
2026-05-02T13:04:35Z,203.0.113.89,www.campus.edu,/financial-aid,200,Mozilla/5.0
2026-05-02T13:04:42Z,198.51.100.214,www.campus.edu,/admissions,200,Mozilla/5.0 (Windows NT 10.0)
2026-05-02T13:05:23Z,192.0.2.70,www.campus.edu,/apply,200,Mozilla/5.0 (iPhone)
